artist_name,track_name,track_id,popularity
Nipsey Hussle,Last Time That I Checc'd (feat. YG),39xWBHPM4E9MwzEy5gbM7p,73
Bazzi,3:15,6pmZMP2ET1OJi5rKfLO8jD,75
Morgan Wallen,Up Down (feat. Florida Georgia Line),3EWMoDIm6lzuR0zQKtuCJX,73
Drake,I'm Upset,3qN5qMTKyEEmiTZD38BNTT,75
XXXTENTACION,BAD!,4CH66Rxcjcj3VBHwmIBj4T,76
Calum Scott,Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ,81
Jimmie Allen,Best Shot,3VamXAvVMczcS2PTYtPfBQ,72
Bad Bunny,Si Estuviésemos Juntos,35wvL50xvKpCHEJPxLOLPI,81
21 Savage,can't leave without it,0hPLZrnDgtKxrym1BHjDhd,74
H.E.R.,Could've Been (feat. Bryson Tiller),6lzLjIOyWTyTJvk0jraYee,74
Roddy Ricch,Every Season,7uDmtMSHiwHt4SXqxbYqIr,73
KIDS SEE GHOSTS,Reborn,4RVbK6cV0VqWdpCDcx3hiT,74
YBN Nahmir,Bounce Out With That,5gQcxYXqnofyocKgEbGYKt,74
KYLE,Playinwitme (feat. Kehlani),4F1yvJfQ7gJkrcgFJQDjOr,75
YNW Melly,Virtual (Blue Balenciagas),792MY19uNkA4SJBqdw5a84,73
Joji,CAN'T GET OVER YOU (feat. Clams Casino),39oeKRgsLeynDIbWuXyA47,75
Post Malone,92 Explorer,1D2L6MefbXon28PzIk9I3r,76
Maroon 5,Girls Like You (feat. Cardi B),6V1bu6o1Yo5ZXnsCJU8Ovk,73
Lil Wayne,Mona Lisa (feat. Kendrick Lamar),0dbTQYW3Ad1FTzIA9t90E8,73
Maroon 5,What Lovers Do (feat. SZA),2j5hsQvApottzvTn4pFJWF,73
Childish Gambino,Summertime Magic,4j3GWI86JvSaF0BLdmgcfF,75
Bazzi,Why,7lozLnUfzcgEpMMVQI7yhA,76
Ski Mask The Slump God,Take A Step Back,2gQYziDV5cSTRSqr6akzi5,75
Martin Garrix,Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,80
Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",51rXHuKN8Loc4sUlKPODgH,75
Metro Boomin,Don't Come Out The House (with 21 Savage),2Grb4G6t9VIqo6moKUloom,73
Dustin Lynch,Good Girl,5HnXcJJbNXQQ7tRlQ9VN1v,72
Bad Bunny,Caro,6it15CsDlkqB7N4lF0C1qM,79
Quavo,FLIP THE SWITCH (feat. Drake),1rlIrbWboTRGeKfHhgbJRZ,75
The Weeknd,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,77
Childish Gambino,Summertime Magic,4j3GWI86JvSaF0BLdmgcfF,75
Bazzi,Why,7lozLnUfzcgEpMMVQI7yhA,76
Jordan Davis,Take It From Me,3dCZm5HrG0jIXAHfNkg2H0,72
Ski Mask The Slump God,Take A Step Back,2gQYziDV5cSTRSqr6akzi5,75
Martin Garrix,Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,80
Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",51rXHuKN8Loc4sUlKPODgH,75
Metro Boomin,Don't Come Out The House (with 21 Savage),2Grb4G6t9VIqo6moKUloom,73
Dustin Lynch,Good Girl,5HnXcJJbNXQQ7tRlQ9VN1v,72
Bad Bunny,Caro,6it15CsDlkqB7N4lF0C1qM,79
Quavo,FLIP THE SWITCH (feat. Drake),1rlIrbWboTRGeKfHhgbJRZ,75
The Weeknd,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,77
Zac Brown Band,Someone I Used To Know,5MWj28tW4Kt3ISnIXdTQux,73
Jason Aldean,Rearview Town,3yHTTHbT058Ow0favhZO38,71
Takeoff,Casper,1B4gJRq61xTs6r1O0Uq2iY,74
Jason Aldean,Girl Like You,7K0lR5Ngf5jkOWt1g6ut6l,71
Shoreline Mafia,Nun Major,18pwD0HrweX8oCgIkayRb4,72
Kanye West,All Mine,3U21A07gAloCc4P7J8rxcn,74
Post Malone,Spoil My Night (feat. Swae Lee),5VuxWXbt7XENQCtE9TzpTv,75
Dan + Shay,Tequila,42fw0rxRO2xbesF6mJfd4Y,74
YK Osiris,Valentine,15Nn5EEGQqlptGwiB2NVYV,72
Piso 21,Te Vi,059bcIhyc2SBwm6sw2AZzd,88
Calum Scott,You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,81
Bas,Tribe (with J. Cole),0YAQnYt2oB8OdoaeqnHyTI,74
Lennon Stella,La Di Da,2YyvWje3cEYyqgYhNUIaBJ,75
Joyner Lucas,I Love,30z4LVkScpeNhwHFIB8Ewa,75
Cardi B,Bartier Cardi (feat. 21 Savage),0dIoGTQXDh1wVnhIiSyYEa,73
Eric Church,Some Of It,3d1qN7AHge6BXuVPutcpI5,72
Cardi B,Be Careful,2Yl4OmDby9iitgNWZPwxkd,73
Pardison Fontaine,Backin' It Up (feat. Cardi B),0PpfPNtQOOvbMNVJijTQj0,72
YoungBoy Never Broke Again,Murda (feat. Trippie Redd),2CEXhYY4cGmjyTyZJw7Wo0,71
DaBaby,Walker Texas Ranger,0eBOVXdnrVQ0rITgKXBAA7,71
Oliver Tree,Alien Boy,1gGhqfs2pDTOI30AEXMXrn,74
Ruel,Dazed & Confused,2pyjbGTpJCPjMYwCbdymiF,75
Lady Gaga,Shallow - Radio Edit,6QfS2wq5sSC1xAJCQsTSlj,81
Quavo,WORKIN ME,33tNYw9oMtSkGe27NpgS64,73
