index,artist_name,artist_genres,album_name,track_name,All_genres,track_id,Popular,acousticness,danceability,duration_ms,energy,key,liveness,loudness,speechiness,tempo,time_signature,valence
521,J Balvin,latin,Vibras,No Es Justo,"['J Balvin', ['latin', 'pop', 'reggaeton']]",5qFeMRz4TvetPmzjre9Dq7,2,0.161,0.684,250840,0.8109999999999999,7,0.0871,-4.494,0.0714,87.866,4,0.721
209,Bazzi,pop,COSMIC,Myself,"['Bazzi', ['dance pop', 'pop', 'post-teen pop']]",5YLHLxoZsodDWjqSgjhBf3,2,0.465,0.745,167553,0.561,9,0.0338,-5.513,0.07200000000000001,195.918,4,0.902
747,Jason Derulo,pop,Goodbye (feat. Nicki Minaj & Willy William),Goodbye (feat. Nicki Minaj & Willy William),"['Jason Derulo', ['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']]",5Xn4IyTtW6FUGIUyWjbUHG,2,0.0776,0.643,195419,0.904,0,0.189,-3.694,0.0739,103.028,4,0.481
243,Bad Bunny,latin,X 100PRE,200 Mph,"['Bad Bunny', ['reggaeton', 'trap latino']]",5jGUJXnELDaDTgiRjD9lsg,2,0.0139,0.85,170509,0.5,8,0.0947,-6.707999999999998,0.0665,160.02,4,0.816
136,Travis Scott,pop,ASTROWORLD,CAN'T SAY,"['Travis Scott', ['pop', 'pop rap', 'rap']]",27a1mYSG5tYg7dmEjWBcmL,2,0.201,0.7020000000000001,198408,0.708,10,0.118,-5.3660000000000005,0.0547,147.98,4,0.713
141,21 Savage,hip hop,i am > i was,monster,"['21 Savage', ['atl hip hop', 'rap', 'trap music']]",2FUNBaa5DwItJtYEBgAblU,2,0.158,0.89,233040,0.607,9,0.118,-6.916,0.124,134.02200000000002,4,0.224
241,Ruel,pop,Younger,Younger,"['Ruel', ['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']]",2qXicQG06oT0ijKBznpgQv,2,0.202,0.745,222320,0.477,11,0.12,-7.706,0.08800000000000001,136.055,4,0.454
333,iKON,pop,Return,LOVE SCENARIO,"['iKON', ['k-pop', 'k-pop boy group'], ['gothic rock']]",6qAzAmPBUpGrk7XADZHR5k,2,0.331,0.8059999999999999,209648,0.7070000000000001,7,0.294,-4.623,0.0307,118.011,4,0.746
217,Eminem,hip hop,Kamikaze,The Ringer,"['Eminem', ['detroit hip hop', 'g funk', 'hip hop', 'rap']]",2jt2WxXMCD4zjACthkJQVE,2,0.0311,0.939,337941,0.551,1,0.192,-9.126,0.29100000000000004,118.552,4,0.42
492,Seeb,pop,Grip,Grip,"['Seeb', ['dance pop', 'edm', 'norwegian pop', 'pop', 'pop edm', 'tropical house']]",3gicyfiEVMGONgzygpWjNT,2,0.331,0.598,198075,0.904,4,0.264,-2.293,0.0507,138.091,4,0.503
490,benny blanco,pop,I Found You (with Calvin Harris),I Found You (with Calvin Harris),"['benny blanco', ['dance pop', 'pop', 'tropical house']]",5sdb5pMhcK44SSLsj1moUh,2,0.033,0.775,191496,0.872,6,0.298,-4.194,0.0469,122.994,4,0.379
126,NAV,hip hop,RECKLESS,Champion (feat. Travis Scott),"['NAV', ['canadian hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music'], ['punjabi pop']]",6nO3tr47nr2P7f3hXb8JIo,2,0.381,0.642,195053,0.782,5,0.108,-3.395,0.0477,162.005,4,0.396
162,XXXTENTACION,rap,BAD!,BAD!,"['XXXTENTACION', ['emo rap', 'miami hip hop']]",4CH66Rxcjcj3VBHwmIBj4T,2,0.0643,0.78,94246,0.4920000000000001,5,0.174,-3.4,0.0671,143.983,4,0.374
236,Drake,hip hop,Scorpion,Don’t Matter To Me (with Michael Jackson),"['Drake', ['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap'], ['art rock', 'british folk', 'chamber pop', 'folk', 'folk rock', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'rock', 'singer-songwriter', 'slow core', 'traditional folk'], ['contemporary country', 'country pop'], ['post-teen pop'], ['la pop'], ['epicore', 'scorecore', 'soundtrack', 'video game music'], ['steel guitar']]",6G8kHiVZ1jW7vHMPVRNZU0,2,0.493,0.826,245787,0.318,10,0.11,-12.390999999999998,0.0574,103.002,4,0.138
131,Lil Skies,rap,Creeping (feat. Rich the Kid),Creeping (feat. Rich the Kid),"['Lil Skies', ['trap music']]",7ms3VzLTfr7fXNOqA4Mkx9,2,0.0108,0.7290000000000001,179831,0.687,8,0.162,-8.06,0.25,160.085,4,0.6829999999999999
133,Drake,hip hop,Scorpion,Mob Ties,"['Drake', ['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap'], ['art rock', 'british folk', 'chamber pop', 'folk', 'folk rock', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'rock', 'singer-songwriter', 'slow core', 'traditional folk'], ['contemporary country', 'country pop'], ['post-teen pop'], ['la pop'], ['epicore', 'scorecore', 'soundtrack', 'video game music'], ['steel guitar']]",7rC5Pl8rQSX4myONQHYPBK,2,0.0456,0.755,205147,0.575,4,0.276,-8.392999999999999,0.0678,85.98700000000002,4,0.49
